Recipe Name,All Ingredients,Key Ingredients,Outside order,Easy to carry?,Easy to cook?,Time to cook?,Diet Pref,Allergen,Tier,Season,Category,Macro Category,Base,Theme,Heavy Light,Dish Nationality,Cuisine,Temperature,Commonality,Excite Level,Equipment,,NEW FLAVOUR,NEW ETHNICITY,TASEER,SYMPTOMS,MED CON.,Consistency,PALEO?,DEF/TOX,BLD,Servings,Quantity per serving,Base,Theme,Carbs,Protein,Fat,Fiber,Energy,cal/serving,THERAPY,MAXIMUM QUANTITY,Min Quantity,RECIPE ID,Main/Mid,Is Measured In?,Wt.of Measured Amt.,Carbs/100gm,Protein/100gm,Fat/100gm,Fiber/100gm,Energy/100gm,Must have category,Good to have Category,Must have recipe,Good to have recipe,PRIORITY
Cold Pasta Salad,"50 g whole wheat pasta
1/3 cup bell peppers (red
 yellow
 green)
 chopped
1/2 cup broccoli
 chopped
100 g Thick curd
1 tsp garlic powder
1 tsp black pepper
Salt
 to taste
1/4 bowl pomegranate seeds
15 g pineapple
 chopped","Whole wheat pasta - 50'g
Curd - 100'g
Pineapple - 15'g",YES,Easy,Medium,Medium,VEGETARIAN,"Apple/Pear/Melon, Lactose, Onion/Garlic, Gluten, wheat, Citrus",Both,All Season,Heavy Salad,Salad,,,LIGHT,Both,General,Neutral,1,3,No equipment required,,Bland,Italian ,Neutral Taseer,"Glucourea, Constipation, Reduced appetite, Lack of sleepSleep disorders / insomnia, low in immunity , Acne, palpitation, Proteinurea , lethargy, Hairfall, Depression. ","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia,, Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Selenium Deficiency,  High Creatinine, Iron Deficiency, Vitamin D deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Vit B12 deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid   Fiber deficiency, omega 3, Vitamin E deficiency, Potassium deficiency. ",Dinner,1.5,1 medium bowl (200 ml),Wheat,HF,43.37,10.52,4.76,1.02,258.51,172.34,"Low FODMAP, Low GI, Normal",2,1,c8f08b16-ba65-4930-a010-1c32c26f296f,MAIN,medium bowl,250gm,11.6,2.8,1.3,0.3,68.9,,,,,Primary
Lettuce Chicken Roll,"1 onion (finely chopped)
1 tomato (finely chopped)
1 capsicum (finely chopped)
1/4 tsp turmeric powder
1/2 tsp chicken masala powder
1/4 tsp chili powder
100 g chicken minced (keema)
2-3 tsp Greek yogurt (for dressing)
1 tsp oil
2 cloves garlic (minced)
1/4 tsp ginger (minced)
Salt (to taste)
2-3 lettuce leaves","Chicken - 100'g
Greek curd -  3'tsp
Oil - 1'tsp
Onion - 1
Tomato - 1
Capsicum - 1",YES,Medium,Medium ,Medium (30 minutes),"CHICKEN, NON VEGETARIAN","Onion/Garlic, Spicy food",Metro,Winter,Wrap & Roll,Chinese,,,HEAVY,Both,General,Neutral,2,3,"Gas stove / Cooktop, Basic fry pan/kadai",,Umami,Generic,Neutral Taseer,"weakness, tiredness, bodyache, low immunity, lack of sleep, stress, anixety , muscle cramp, joint pain, hairfall, skin health low, mood swing, reduce appetite,Sleep disorders / insomnia","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia,, Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES," Protein deficiency, Vitamin B12 deficiency, Vitamin B6 deficiency, B3 deficiency, phosphorus deficiency, selenium deficiency, zinc deficiency, iron deficiency. calcium.vitamin A","Lunch, Pre Dinner",2,1 stuffed roll,Chicken,HP,18.06,32.78,19.06,9.66,374.72,187.36,"Low FODMAP, Low GI, Normal",2,1,c91e68f5-14ed-4404-ae50-dd235bfbfbc5,MAIN,Numbers,135gm,6.7,12.1,7.1,3.6,138.8,,,,"Mint Chutney, Coriander Chutney, Curd",Primary
Rava Dosa,"1 cup semolina (rava)
1/2 cup rice flour
1/4 cup all-purpose flour (maida)
1/2 cup curd
2-3 cups water
1/2 tsp cumin seeds
1 tsp crushed black pepper
1 tsp finely chopped ginger
1-2 finely chopped green chilies
1/2 cup finely chopped onions
2 tbsp chopped coriander leaves
Salt to taste
Oil for cooking","Rava - 1'cup
Rice flour - 0.5'cup
Refined Wheat Flour (Maida) - 0.25'cup
Curd - 0.5'cup
Onion - 0.5'cup
",YES,Easy,Medium,Medium,VEGETARIAN,"Lactose, Gluten, Onion/Garlic, Gluten, wheat",Metro,All Season,Dosa,,,,Heavy,India,South Indian,Warm,1,2,"Gas stove / Cooktop, Basic fry pan/kadai",,Salty,South indian ,Neutral Taseer,"bloating, acidity, constipation, headache, palpitation, mood swings, Anxiety, low immunity, reduce appetite, weakness, skin health, low immunity, stress.","High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Selenium Deficiency,  High Creatinine, Iron Deficiency, Vitamin D deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Vit B12 deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid   Fiber deficiency, omega 3, Vitamin E deficiency, Potassium deficiency. ","Breakfast, Lunch",6,1-2 dosa,Wheat,HF,215.89,34.23,7.33,2.67,1065.9,177.65,Normal,2,1,c96a1b91-27de-452d-9b50-60c5fdb3c416,MAIN,Numbers,173gm,20.8,3.3,0.7,0.3,102.7,,,"Sambhar, Coriander Chutney, Coconut Coriander Chutney, Tomato Pachadi, Mint Chutney                            ",,Primary
Rajma Curry,"1 cup rajma (kidney beans)
 soaked overnight
1 tsp cumin seeds
1 onion
 finely chopped
4 tomatoes
 pureed
0.5 tsp turmeric powder
1/4 cup coriander leaves
 chopped
1/2 tsp red chili powder
1/2 tsp rajma/garam masala
1 green chili
 finely chopped
2 tsp olive oil
Salt (to taste)
2 cups water","Rajma - 1'cup
Olive oil - 2'tsp
Onion - 1
Tomato - 4",YES,Medium,Easy ,Medium (30 minutes),"VEGAN , VEGETARIAN",Onion/Garlic,Metro,Winter,Sabzi,Sabzi,,,HEAVY,India,North Indian,Neutral,0,2,"Gas stove / Cooktop, Basic fry pan/kadai",,Salty,,Cold Taseer,"bloating, acidity, constipation, headache, palpitation, mood swings, Anxiety, low immunity, reduce appetite, weakness, skin health, low immunity, stress.","Type 2 Diabetes (portion-controlled), Gestational Diabetes (controlled portions), Prediabetic, High Blood Pressure (Hypertension),  Low Blood Pressure (Hypotension) Fatty Liver, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Vitiligo, Cardiovascular Diseases (CVDs).",Solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Lunch, Dinner",3.5,1 cup,Rajma,"HP, HF, WR",142.94,50.92,12.65,43.85,889.2,254.06,"Low GI, Normal",2,1,c973810e-6a5a-4b54-a517-bfb7720095f1,MAIN,Katori,150gm,27.2,9.7,2.4,8.4,169.4,Roti,,,,Primary
Alu Vegetable Cutlet,"For Cutlet Mixture:
250 g potatoes
200 g cauliflower
50 g peas
30 g oats flour
30 g besan (gram flour)
2 tsp salt
1 tsp jeera (cumin) powder
1 tsp black pepper
For Coating:
Instant oats (for coating)","Potato - 250'g
Cauliflower - 200'g
Peas - 50'g
Oats flour - 30'g
Besan - 30'g",YES,Easy,Medium ,Medium (30 minutes),"VEGAN , VEGETARIAN","Cruciferous, Gluten",Both,Winter,Cutlet,Meal,,,LIGHT,India,General,Neutral,1,3,"Gas stove / Cooktop, Basic fry pan/kadai",,Spicy,Generic,Hot Taseer,"bloating, acidity, constipation, headache, palpitation, mood swings, Anxiety, low immunity, reduce appetite, weakness, skin health, low immunity, stress.","High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), GERD (Gastroesophageal Reflux Disease), IBS (Irritable Bowel Syndrome), Crohn's Disease, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Eczema, Anemia, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Lunch, Pre Dinner",3.5,2 cutlet,Aloo,WR,94.3,22.88,5.79,22.04,519.68,148.48,"Low FODMAP, Normal",3,2,c9ec44f9-4a3f-46cb-a362-11594968b6ff,MAIN,Numbers,143gm,18.8,4.6,1.2,4.4,103.8,,,,"Mint Chutney, Coriander Chutney, Curd",Primary
Moong Dal Idli,"300 gm moong dal (soaked in 3 cups of water overnight)
Salt (to taste)
1/2 cup curd
1 tsp mustard seeds (soaked overnight)
2 tsp Eno (fruit salt)
Finely chopped carrot (for garnish)
Finely chopped capsicum (for garnish)","Moong dal - 300'g
Curd - 0.5'cup
Mustard seeds - 1'tsp",NO,Easy,Medium ,Medium (30 minutes),"JAIN, VEGETARIAN ",Lactose,Both,Winter,Idli,south,,,HEAVY,India,South Indian,Neutral,0,2,"Gas stove / Cooktop, Steamer",,Salty,South indian ,Hot Taseer,"fever, nausea, Chronic cough, low immunity, muscle cramb, Loose motions/diarrhoea, Bloating, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, Rosacea, Lupus (SLE).","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), GERD (Gastroesophageal Reflux Disease), IBS (Irritable Bowel Syndrome), Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Semi-solid,YES,"Calcium deficiency, Selenium Deficiency, Biotin deficiency, High Total cholesterol, Iron Deficiency, deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Vit B12 deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated","Breakfast, Lunch, Dinner",6,2 medium idli,Lentils,"HP, HF",195.08,77.38,9.54,0.71,1174.17,0.00,"Low FODMAP, Low GI, Normal",3,2,ca8985b3-9b6b-45ff-a298-66a132443704,MAIN,Numbers,120gm,,,,,,,,"Coconut Coriander Chutney, Mint Chutney, Sambhar        ",,Primary
Macher Matha Diye Dal,"1/2 cup masoor dal (red lentils)
1 fish head (Rohu or any other white fish head)
 cleaned and cut into pieces
1 small onion
 finely chopped
1 small tomato
 finely chopped
2-3 garlic cloves
 minced
a 1/2-inch piece of ginger
 minced
1/2 teaspoon turmeric powder
1/2 teaspoon cumin powder
1/2 teaspoon coriander powder
1/2 teaspoon red chili powder (adjust to your spice preference)
Salt to taste
1-2 teaspoons mustard oil or a healthier cooking oil
Fresh coriander leaves for garnish (optional)","Masoor dal - 0.5'cup
Fish head - 1
Mustard oil - 2'tsp
Onion - 1
Tomato - 1",NO,Hard,Easy ,Medium (30 minutes),"VEGAN , VEGETARIAN","Onion/Garlic, Fish, Seafood",Both,Winter,Dal,,,,Heavy,India,Bengali,Bengali,1,3,"Gas stove / Cooktop, Basic fry pan/kadai",,Umami,east India ,Neutral Taseer,"fever, nausea, Chronic cough, low immunity, muscle cramb, Loose motions/diarrhoea, Bloating, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, Rosacea, Lupus (SLE).","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Low Blood Pressure (Hypotension), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Vitiligo, Cardiovascular Diseases (CVDs)",Semi-solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Lunch, Dinner",2,1-1.5 cup,"Lentils, Fish","HP, HF, HP",74.49,48.86,30.49,15.76,763.88,381.94,"Low GI, Antiinflammatory, Normal",2,1,caa0e014-7d2c-4e30-aa01-b260ae929d11,MAIN,Katori,200ml,18.6,12.2,7.6,3.9,191.0,,"Roti, Rice",,,Primary
Veg And Chicken Wrap,"Small chicken breast - 100 g
Olive oil - 1 tsp
Salt and pepper- to taste
Paprika - 1/2 tsp
Garlic powder - 1/2 tsp
Shredded lettuce - 1/4 cup
Diced tomatoes - 1/4 cup
Shredded carrots - 1/4 cup
Sliced cucumbers - 1/4 cup
Bell peppers - 1/4 cup
Wheat flour roti - 1","Chicken breast - 100'g
Olive oil - 1'tsp
Wheat flour roti - 1
Lettuce - 0.25'cup
Tomato - 0.25'cup
Carrot - 0.25'cup
Cucumber - 0.25'cup
Caspsicum - 0.25'cup",YES,Easy,Medium ,Medium (30 minutes),"CHICKEN, NON VEGETARIAN","Gluten, Onion/Garlic, Gluten, wheat, Gluten, Wheat",Metro,Winter,Wrap & Roll,,,,Heavy,Both,General,Neutral,1,3,"Gas stove / Cooktop, Rolling pin & board (chakla belan), Basic fry pan/kadai",,Umami,Generic,Hot Taseer," Muscle cramb,Glucourea,  Headache, Lack of sleep, Trieadness, Palpitation , Frequent infection , weakness , trieadness, leethargy, joint pain , back pain, delay in periods , calcinosis cutis, Dizzness, Cold Extremities, Headache, Angular Stomatitis, Koilonychia.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia,, Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO," Protein deficiency, Vitamin B12 deficiency, Vitamin B6 deficiency, B3 deficiency, phosphorus deficiency, selenium deficiency, zinc deficiency, iron deficiency, calcium Vitamin C deficiency, Vitamin A deficiency, potassium deficiency, Vitamin k ","Dinner, Pre Dinner",1,,"Wheat, Chicken","HF, HP",23.46,26.89,17.9,6.51,355.66,355.66,"Low FODMAP, Low GI, Normal",1,1,f58665ba-13d0-4170-86e2-a882f71af284,MAIN,Numbers,295gm,8.0,9.1,6.1,2.2,120.6,,,,"Mint Chutney, Coriander Chutney, Curd",Primary
Curd Oats,"Oats - 1/2 cup (50 grams approx.)
Curd (Yogurt) - 1 cup (120 grams)
Water - 1/2 cup (100 ml)
Salt - a pinch
Green Chilies - 1 or 2
 finely chopped (adjust to taste)
Ginger - 1/2 inch piece
 finely grated
Cumin Seeds - 1/2 tsp
Mustard Seeds - 1/2 tsp
Curry Leaves - a few
Oil - 1 tsp
Hing (Asafoetida) - a pinch
Fresh Coriander Leaves - a handful
 finely chopped
(Optional) Toppings:
Carrot - 1/2 cup
 grated
Pomegranate Seeds - for garnish (optional)
Roasted Peanuts - for crunch (optional)
Green Chutney - for extra flavor (optional)","Oats - 0.5'cup
Curd - 120'g
Oil - 1'tsp
Carrot - 0.5'cup",NO,Medium,Easy,Medium,VEGETARIAN,"Lactose, Onion/Garlic, Gluten, Peanuts, Nut",Both,Winter,Cereal,Porridge,,,HEAVY,India,General,Neutral,0,1,"Gas stove / Cooktop, Basic fry pan/kadai",,Creamy,Generic,Neutral Taseer,"Glucourea, Bloating, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, Lichen planus, Rosacea, Lupus (SLE), Skin itching","Type 2 Diabetes, Gestational Diabetes (portion-controlled), Prediabetic, High Blood Pressure (Hypertension), Fatty Liver, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs), post antibiotic phase.",Semi-solid,NO," Folate deficiency,  calcium ,  Vit B12 deficiency,  High LDL/Low HDL, High Triglycerides,   Protein, Iron, Magnesium, Zinc, Phosphorus, B-complex vitamins (especially Vitamin B1)","Breakfast, Lunch",1.5,1 bowl,Oats,HF,35.74,11.51,11.72,2.47,294.38,196.25,"Low GI, Normal",1.5,1,cb326563-a8ca-4c85-af03-cbc5dcb6fea3,MAIN,medium bowl,200ml,11.9,3.8,3.9,0.8,98.1,,,,,Primary
Grilled Chicken With Roasted Zucchini,"Chicken - 100 g
Lemon - 1/2
Oregano - 1 tsp
Basil - 1 tsp
Salt - As per taste
Garlic - 1 tsp
Black Pepper - 1 tsp
Zucchini - 1
Oil - 1/2 tsp","Chicken - 100'g
Zucchini - 1
Oil - 0.5'tsp",NO,Easy,Medium ,Medium,"CHICKEN, NON VEGETARIAN","Onion/Garlic, Citrus",Metro,Winter,Heavy Meal,,,,Heavy,Both,General,Neutral,1,2,Tandoor / grill pan,,Umami,"Generic , American ",Hot Taseer,"weakness, tiredness, bodyache, low immunity, lack of sleep, stress, anixety , muscle cramp, joint pain, hairfall, skin health low, mood swing, reduce appetite,Sleep disorders / insomnia","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia,, Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES," Protein deficiency, Vitamin B12 deficiency, Vitamin B6 deficiency, B3 deficiency, phosphorus deficiency, selenium deficiency, zinc deficiency, iron deficiency, calcium Vitamin C deficiency, Vitamin A deficiency, potassium deficiency, Vitamin k ","Lunch, Dinner",1,1.5 cup,"Chicken, Zucchini","HP, LC",6.2,29.7,16.7,4.6,294.5,294.50,"Low FODMAP, Low GI, Normal",1.5,1,cb404b18-5a90-4a3d-ab38-792aa279c75e,MAIN,medium bowl,200ml,3.1,14.9,8.4,2.3,147.3,,,,,Primary
Beetroot Khichdi,"Rice - 1/4 cup
Moong Dal - 1 tbsp
Beetroot - 2 tbsp
Oil/Ghee - 1 tsp
Mustard Seeds - 1/2 tsp
Cumin Seeds: 1/4 tsp
Bay Leaf - 1/2
Green Chilli - 1
Crushed Ginger - 1/2 tsp
Garlic Pods - 2-3
Curry Leaves - a few
Onion - 1/2
Tomato - 1/2
Water - 1 1/2 cups
Turmeric Powder - 1/8 tsp
Salt - as per taste
Coriander Leaves - for garnishing","Rice - 0.25'cup
Moong Dal - 1'tbsp
Beetroot - 2'tbsp
Ghee - 1'tsp
Onion - 0.5
Tomato - 0.5",NO,Medium,Medium,Medium (30 minutes),"VEGAN , VEGETARIAN","Onion/Garlic, Lactose",Both,Winter,Khichdi,Porridge,,,HEAVY,India,General,Neutral,0,2,"Gas stove / Cooktop, Pressure cooker",,"Salty, soft food",Generic,Hot Taseer,"bloating, acidity, constipation, headache, palpitation, mood swings, Anxiety, low immunity, reduce appetite, weakness, skin health, low immunity, stress.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), GERD (Gastroesophageal Reflux Disease), Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Semi-solid,NO,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.",Lunch,1.5,1 Cup,Lentils,"HP, HF",59.3,9.02,5.76,5.32,324.79,216.53,"Low GI, Normal",2,1,cb4bf173-e435-4d3e-a338-499d67c13b62,MAIN,Katori,200gm,19.8,3.0,1.9,1.8,108.3,,,,Curd,Primary
Oats And Fruits In Milk,"Rolled (Instant) Oats - 3 tbsp (30 grams approx.)
Low Fat Milk - 1 glass (200 ml)
Fruits - 1 cup in total
(Optional) Jaggery Powder - 1 tsp
(Optional) Nuts - 1 tsp
(Optional) Seed Mix - 1 tsp","Oats - 3'tbsp
Milk - 200'ml
Fruits - 1'cup
Jaggery Powder - 1'tsp
Nuts - 1'tsp 
Seed Mix - 1'tsp ",NO,Easy ,Easy,Medium,"JAIN, VEGETARIAN ","Lactose, Gluten, Nut",Metro,All Season,Cereal,Porridge,,,HEAVY,Both,General,Neutral,0,2,Basic mixer grinder,,Creamy,Generic,Cold Taseer,"bloating, acidity, constipation, headache, palpitation, mood swings, Anxiety, low immunity, reduce appetite, weakness, skin health, low immunity, stress.","Type 2 Diabetes, Gestational Diabetes (portion-controlled), Prediabetic, High Blood Pressure (Hypertension), Fatty Liver, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs), post antibiotic phase.",Liquid,NO," Folate deficiency, High LDL/Low HDL, High Triglycerides,   Protein, Iron, Magnesium, Zinc, Phosphorus, B-complex vitamins (especially Vitamin B1),vitamin E","Breakfast, Lunch",1.5,1 Cup,Oats,HF,71.75,15.81,5.7,0,399.4,266.27,"DASH, Normal",2,1,f93eb5b9-230b-464b-a90c-a5845a5d201e,MAIN,Bowl,200ml,23.9,5.3,1.9,0.0,133.1,,,,,Primary
Chicken Breast With Sauteed Veggies,"Skinless chicken breast - 1
Olive oil - 1 tbsp
Salt and pepper - to taste
Garlic powder - 1/4 tsp
Paprika - 1/4 tsp
Dried thyme - 1/4 tsp
Small zucchini
 sliced - 1/2
Small bell pepper
 sliced - 1/2
Small carrot
 thinly sliced - 1
Garlic
 minced - 1
Lemon juice  - 1 tsp
Fresh parsley
 chopped - (for garnish)","Chicken breast - 1
Olive oil - 1'tbsp
Zucchini - 0.5
Capsicum - 0.5
Carrot - 1",YES,Medium,Medium ,Medium (30 minutes),"CHICKEN, NON VEGETARIAN","Onion/Garlic, Citrus, Spicy food",Metro,Winter,Light Meal,,,,Heavy,Both,General,Neutral,1,3,"Gas stove / Cooktop, Basic fry pan/kadai",,Umami,"Generic , American ",Hot Taseer," Muscle cramb,Glucourea,  Headache, Lack of sleep, Trieadness, Palpitation , Frequent infection , weakness , trieadness, leethargy, joint pain , back pain, delay in periods , calcinosis cutis, Dizzness, Cold Extremities, Headache, Angular Stomatitis, Koilonychia.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia,, Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES," Protein deficiency, Vitamin B12 deficiency, Vitamin B6 deficiency, B3 deficiency, phosphorus deficiency, selenium deficiency, zinc deficiency, iron deficiency, calcium Vitamin C deficiency, Vitamin A deficiency, potassium deficiency, Vitamin k ","Lunch, Dinner",2,1/2 breast + 1 cup veggies,Chicken,HP,8.55,28.58,26.1,6.94,383.67,191.84,"Low FODMAP, Low GI, Normal",2,1,cb795037-150b-49c8-b29b-b1408269f874,MAIN,medium bowl,200ml,2.1,7.1,6.5,1.7,95.9,,,,,Primary
Fitelo Chia Seeds,Chia Seeds - 1 tsp,Chia Seeds - 1'tsp,NO,Easy,Easy,Low,"JAIN, VEGAN",,Both,All Season,Seeds,,,,Light,India,General,Neutral,0,2,No equipment required,,Crunchy,Generic,Neutral Taseer,"bloating, acidity, constipation, headache, palpitation, mood swings, Anxiety, low immunity, reduce appetite, weakness, skin health, low immunity, stress.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), GERD (Gastroesophageal Reflux Disease), IBS (Irritable Bowel Syndrome), Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.",Mid Meal,1,1 tsp,NO BASE,All themes,2.11,0.83,1.54,0,25.57,25.57,"Low FODMAP, Low GI, Antiinflammatory, DASH, Normal",2,1,cb9080e5-6aef-4ff7-9d41-9f2fcb94c291,MID,tsp,5gm,42.2,16.6,30.8,0.0,511.4,,"Smoothie, Shake",,,Secondary
